场景,算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,路径点数
对角穿越,传统A星算法,0.01147,1410,102.54,20.42,26,1.41,82
对角穿越,本文改进A星算法,0.21177,1958,100.61,4.017,8,2.41,58
走廊转弯,传统A星算法,0.01489,1995,96.57,21.206,27,1.0,81
走廊转弯,本文改进A星算法,2e-05,1,0.0,0.0,0,0.0,0
墙角绕行,传统A星算法,0.00513,707,76.18,22.777,29,1.41,66
墙角绕行,本文改进A星算法,0.17568,1658,83.25,4.37,8,2.41,50
多障碍绕行,传统A星算法,0.01011,1253,75.77,10.21,13,1.41,66
多障碍绕行,本文改进A星算法,0.16775,1573,80.33,1.702,3,2.83,43
远距离规划,传统A星算法,0.01566,2084,108.12,29.845,38,1.41,88
远距离规划,本文改进A星算法,0.18221,1736,105.93,3.476,6,2.41,60
