场景,算法,导航时间/s,实际轨迹长度/m,平均速度/(m/s),侧向运动比例,Recovery次数,成功率
长直走廊,传统A星+传统DWA,19.58,5.83,0.306,0.31,1,0.766
长直走廊,原有改进A星+DWA,15.72,5.16,0.345,0.284,0,0.83
长直走廊,本文融合改进算法,12.68,4.19,0.452,0.169,0,0.976
墙角绕行,传统A星+传统DWA,35.32,10.41,0.317,0.309,2,0.762
墙角绕行,原有改进A星+DWA,27.81,8.75,0.356,0.304,1,0.856
墙角绕行,本文融合改进算法,22.77,7.07,0.474,0.164,0,0.933
窄通道,传统A星+传统DWA,42.91,12.53,0.295,0.342,2,0.763
窄通道,原有改进A星+DWA,36.09,11.01,0.353,0.291,1,0.871
窄通道,本文融合改进算法,27.62,8.42,0.496,0.166,1,0.965
多转弯路径,传统A星+传统DWA,52.7,16.49,0.286,0.347,3,0.776
多转弯路径,原有改进A星+DWA,47.71,13.98,0.371,0.292,2,0.849
多转弯路径,本文融合改进算法,36.64,11.62,0.47,0.184,1,0.962
目标隔墙,传统A星+传统DWA,64.11,19.65,0.312,0.323,2,0.78
目标隔墙,原有改进A星+DWA,49.29,16.2,0.35,0.267,1,0.865
目标隔墙,本文融合改进算法,38.53,12.59,0.465,0.19,1,0.947
