Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.019089,-0.0020479,0.0012749,0,0,0,6.1035,0.020213,3.602E-05,-4.2003E-05,0.01508,7.14E-05,0.026348,0,0,0,0,0,0,package://ASK_4_description/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/base.STL,,ASK-4-body-1;固定板(前脸）-2;ASK-4前脸-1/Face前脸-1;ASK-4固定板(前脸下板）-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Link1,-0.0052775,-0.00048903,3.0096E-05,0,0,0,0.68326,0.00057425,4.8331E-06,4.3966E-07,0.00085904,5.9981E-07,0.00046053,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link1.STL,,LF-link-1-1,Origin_LF_HAA,Axis_LF_HAA,LF_HAA,revolute,0.2105,0.0575,0,0,0,0,base,-1,0,0,20,12.5,-3.14,3.14,,,,,,,,
LF_Link2,-0.014539,-0.024943,-0.015565,0,0,0,1.3401,0.0018637,-2.6545E-06,-0.00091924,0.0034371,-1.105E-06,0.0018321,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link2.STL,,LF-link-2-1,Origin_LF_HFE,Axis_LF_HFE,LF_HFE,revolute,0,0.0975,0,0,0,0,LF_Link1,0,-1,0,20,12.5,-3.14,3.14,,,,,,,,
LF_Link3,0.070809,-2.0359E-06,-0.076408,0,0,0,0.23118,0.0007003,-2.8725E-08,0.00068235,0.0014363,3.0135E-08,0.00075357,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LF_Link3.STL,,LF-link-3-1,Origin_LF_KFE,Axis_LF_KFE,LF_KFE,revolute,-0.14098,0,-0.15565,0,0,0,LF_Link2,0,-1,0,20,12.5,-3.14,3.14,,,,,,,,
LH_Link1,0.0052775,-0.00048903,-3.0096E-05,0,0,0,0.68326,0.00057425,-4.8331E-06,4.3966E-07,0.00085904,-5.9981E-07,0.00046053,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link1.STL,,LH-link-1-1,Origin_LH_HAA,Axis_LH_HAA,LH_HAA,revolute,-0.2105,0.0575,0,0,0,0,base,1,0,0,20,12.5,-3.14,3.14,,,,,,,,
LH_Link2,-0.013967,-0.024942,-0.014558,0,0,0,1.3401,0.0018663,-1.2859E-06,-0.00091725,0.0034371,-2.1538E-06,0.0018295,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link2.STL,,LH-link-2-1,Origin_LH_HFE,Axis_LH_HFE,LH_HFE,revolute,0,0.0975,0,0,0,0,LH_Link1,0,-1,0,20,12.5,-3.14,3.14,,,,,,,,
LH_Link3,0.070809,-2.036E-06,-0.076408,0,0,0,0.23118,0.0007003,-2.8725E-08,0.00068235,0.0014363,3.0135E-08,0.00075357,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/LH_Link3.STL,,LH-link-3-1,Origin_LH_KFE,Axis_LH_KFE,LH_KFE,revolute,-0.14098,0,-0.15565,0,0,0,LH_Link2,0,-1,0,20,12.5,-3.14,3.14,,,,,,,,
RF_Link1,-0.0052978,0.00048908,1.0286E-05,0,0,0,0.68326,0.0005744,-4.6132E-06,4.4702E-07,0.00085904,-3.8107E-07,0.00046039,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link1.STL,,RF-link-1-1,Origin_RF_HAA,Axis_RF_HAA,RF_HAA,revolute,0.2105,-0.0575,0,0,0,0,base,-1,0,0,20,12.5,-3.14,3.14,,,,,,,,
RF_Link2,-0.014894,0.024984,-0.015351,0,0,0,1.335,0.001869,3.0442E-06,-0.00090559,0.0034065,2.2226E-06,0.0017962,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link2.STL,,RF-link-2-1,Origin_RF_HFE,Axis_RF_HFE,RF_HFE,revolute,0,-0.0975,0,0,0,0,RF_Link1,0,-1,0,20,12.5,-3.14,3.14,,,,,,,,
RF_Link3,0.070809,-2.036E-06,-0.076408,0,0,0,0.23118,0.0007003,-2.8725E-08,0.00068235,0.0014363,3.0134E-08,0.00075357,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_4_description/meshes/RF_Link3.STL,,RF-link-3-1,Origin_RF_KFE,Axis_RF_KFE,RF_KFE,revolute,-0.14098,0,-0.15565,0,0,0,RF_Link2,0,1,0,20,12.5,-3.14,3.14,,,,,,,,
